month,retailer_id,product,units_sold
2026-05,R0001,Amistar Top Fungicide,30
2026-04,R0001,Amistar Top Fungicide,43
2026-03,R0001,Amistar Top Fungicide,42
2026-01,R0001,Amistar Top Fungicide,56
2026-01,R0001,Amistar Top Fungicide,75
2025-12,R0001,Amistar Top Fungicide,125
2025-11,R0001,Amistar Top Fungicide,86
2025-10,R0001,Amistar Top Fungicide,75
2025-09,R0001,Amistar Top Fungicide,54
2025-08,R0001,Amistar Top Fungicide,54
2025-07,R0001,Amistar Top Fungicide,18
2025-06,R0001,Amistar Top Fungicide,31
2026-05,R0001,Karate Zeon Insecticide,45
2026-04,R0001,Karate Zeon Insecticide,42
2026-03,R0001,Karate Zeon Insecticide,42
2026-01,R0001,Karate Zeon Insecticide,81
2026-01,R0001,Karate Zeon Insecticide,109
2025-12,R0001,Karate Zeon Insecticide,90
2025-11,R0001,Karate Zeon Insecticide,91
2025-10,R0001,Karate Zeon Insecticide,63
2025-09,R0001,Karate Zeon Insecticide,49
2025-08,R0001,Karate Zeon Insecticide,34
2025-07,R0001,Karate Zeon Insecticide,34
2025-06,R0001,Karate Zeon Insecticide,34
2026-05,R0001,Cruiser Seed Treatment,36
2026-04,R0001,Cruiser Seed Treatment,39
2026-03,R0001,Cruiser Seed Treatment,58
2026-01,R0001,Cruiser Seed Treatment,64
2026-01,R0001,Cruiser Seed Treatment,69
2025-12,R0001,Cruiser Seed Treatment,70
2025-11,R0001,Cruiser Seed Treatment,65
2025-10,R0001,Cruiser Seed Treatment,91
2025-09,R0001,Cruiser Seed Treatment,35
2025-08,R0001,Cruiser Seed Treatment,36
2025-07,R0001,Cruiser Seed Treatment,25
2025-06,R0001,Cruiser Seed Treatment,21
2026-05,R0002,Tihan Insecticide,71
2026-04,R0002,Tihan Insecticide,108
2026-03,R0002,Tihan Insecticide,112
2026-01,R0002,Tihan Insecticide,78
2026-01,R0002,Tihan Insecticide,129
2025-12,R0002,Tihan Insecticide,121
2025-11,R0002,Tihan Insecticide,174
2025-10,R0002,Tihan Insecticide,109
2025-09,R0002,Tihan Insecticide,70
2025-08,R0002,Tihan Insecticide,58
2025-07,R0002,Tihan Insecticide,70
2025-06,R0002,Tihan Insecticide,72
2026-05,R0002,Polo Insecticide,52
2026-04,R0002,Polo Insecticide,58
2026-03,R0002,Polo Insecticide,114
2026-01,R0002,Polo Insecticide,119
2026-01,R0002,Polo Insecticide,83
2025-12,R0002,Polo Insecticide,175
2025-11,R0002,Polo Insecticide,182
2025-10,R0002,Polo Insecticide,108
2025-09,R0002,Polo Insecticide,87
2025-08,R0002,Polo Insecticide,77
2025-07,R0002,Polo Insecticide,41
2025-06,R0002,Polo Insecticide,72
2026-05,R0002,Cruiser Cotton Seed,80
2026-04,R0002,Cruiser Cotton Seed,92
2026-03,R0002,Cruiser Cotton Seed,130
2026-01,R0002,Cruiser Cotton Seed,94
2026-01,R0002,Cruiser Cotton Seed,163
2025-12,R0002,Cruiser Cotton Seed,91
2025-11,R0002,Cruiser Cotton Seed,182
2025-10,R0002,Cruiser Cotton Seed,124
2025-09,R0002,Cruiser Cotton Seed,78
2025-08,R0002,Cruiser Cotton Seed,83
2025-07,R0002,Cruiser Cotton Seed,80
2025-06,R0002,Cruiser Cotton Seed,67
2026-05,R0003,Amistar Top Fungicide,47
2026-04,R0003,Amistar Top Fungicide,94
2026-03,R0003,Amistar Top Fungicide,71
2026-01,R0003,Amistar Top Fungicide,96
2026-01,R0003,Amistar Top Fungicide,80
2025-12,R0003,Amistar Top Fungicide,143
2025-11,R0003,Amistar Top Fungicide,159
2025-10,R0003,Amistar Top Fungicide,175
2025-09,R0003,Amistar Top Fungicide,97
2025-08,R0003,Amistar Top Fungicide,69
2025-07,R0003,Amistar Top Fungicide,61
2025-06,R0003,Amistar Top Fungicide,50
2026-05,R0003,Karate Zeon Insecticide,50
2026-04,R0003,Karate Zeon Insecticide,106
2026-03,R0003,Karate Zeon Insecticide,82
2026-01,R0003,Karate Zeon Insecticide,114
2026-01,R0003,Karate Zeon Insecticide,98
2025-12,R0003,Karate Zeon Insecticide,171
2025-11,R0003,Karate Zeon Insecticide,168
2025-10,R0003,Karate Zeon Insecticide,83
2025-09,R0003,Karate Zeon Insecticide,70
2025-08,R0003,Karate Zeon Insecticide,81
2025-07,R0003,Karate Zeon Insecticide,52
2025-06,R0003,Karate Zeon Insecticide,58
2026-05,R0003,Cruiser Seed Treatment,32
2026-04,R0003,Cruiser Seed Treatment,115
2026-03,R0003,Cruiser Seed Treatment,57
2026-01,R0003,Cruiser Seed Treatment,132
2026-01,R0003,Cruiser Seed Treatment,96
2025-12,R0003,Cruiser Seed Treatment,94
2025-11,R0003,Cruiser Seed Treatment,165
2025-10,R0003,Cruiser Seed Treatment,91
2025-09,R0003,Cruiser Seed Treatment,90
2025-08,R0003,Cruiser Seed Treatment,59
2025-07,R0003,Cruiser Seed Treatment,47
2025-06,R0003,Cruiser Seed Treatment,75
2026-05,R0004,Tihan Insecticide,58
2026-04,R0004,Tihan Insecticide,59
2026-03,R0004,Tihan Insecticide,93
2026-01,R0004,Tihan Insecticide,136
2026-01,R0004,Tihan Insecticide,86
2025-12,R0004,Tihan Insecticide,103
2025-11,R0004,Tihan Insecticide,79
2025-10,R0004,Tihan Insecticide,152
2025-09,R0004,Tihan Insecticide,66
2025-08,R0004,Tihan Insecticide,72
2025-07,R0004,Tihan Insecticide,43
2025-06,R0004,Tihan Insecticide,58
2026-05,R0004,Polo Insecticide,49
2026-04,R0004,Polo Insecticide,51
2026-03,R0004,Polo Insecticide,50
2026-01,R0004,Polo Insecticide,95
2026-01,R0004,Polo Insecticide,113
2025-12,R0004,Polo Insecticide,144
2025-11,R0004,Polo Insecticide,117
2025-10,R0004,Polo Insecticide,101
2025-09,R0004,Polo Insecticide,64
2025-08,R0004,Polo Insecticide,51
2025-07,R0004,Polo Insecticide,63
2025-06,R0004,Polo Insecticide,38
2026-05,R0004,Cruiser Cotton Seed,51
2026-04,R0004,Cruiser Cotton Seed,56
2026-03,R0004,Cruiser Cotton Seed,77
2026-01,R0004,Cruiser Cotton Seed,91
2026-01,R0004,Cruiser Cotton Seed,82
2025-12,R0004,Cruiser Cotton Seed,145
2025-11,R0004,Cruiser Cotton Seed,90
2025-10,R0004,Cruiser Cotton Seed,87
2025-09,R0004,Cruiser Cotton Seed,65
2025-08,R0004,Cruiser Cotton Seed,70
2025-07,R0004,Cruiser Cotton Seed,30
2025-06,R0004,Cruiser Cotton Seed,30
2026-05,R0005,Tihan Insecticide,22
2026-04,R0005,Tihan Insecticide,28
2026-03,R0005,Tihan Insecticide,39
2026-01,R0005,Tihan Insecticide,62
2026-01,R0005,Tihan Insecticide,38
2025-12,R0005,Tihan Insecticide,59
2025-11,R0005,Tihan Insecticide,51
2025-10,R0005,Tihan Insecticide,35
2025-09,R0005,Tihan Insecticide,26
2025-08,R0005,Tihan Insecticide,40
2025-07,R0005,Tihan Insecticide,27
2025-06,R0005,Tihan Insecticide,24
2026-05,R0005,Polo Insecticide,23
2026-04,R0005,Polo Insecticide,41
2026-03,R0005,Polo Insecticide,39
2026-01,R0005,Polo Insecticide,46
2026-01,R0005,Polo Insecticide,64
2025-12,R0005,Polo Insecticide,47
2025-11,R0005,Polo Insecticide,54
2025-10,R0005,Polo Insecticide,46
2025-09,R0005,Polo Insecticide,30
2025-08,R0005,Polo Insecticide,21
2025-07,R0005,Polo Insecticide,17
2025-06,R0005,Polo Insecticide,21
2026-05,R0005,Cruiser Cotton Seed,33
2026-04,R0005,Cruiser Cotton Seed,27
2026-03,R0005,Cruiser Cotton Seed,32
2026-01,R0005,Cruiser Cotton Seed,55
2026-01,R0005,Cruiser Cotton Seed,38
2025-12,R0005,Cruiser Cotton Seed,65
2025-11,R0005,Cruiser Cotton Seed,34
2025-10,R0005,Cruiser Cotton Seed,68
2025-09,R0005,Cruiser Cotton Seed,26
2025-08,R0005,Cruiser Cotton Seed,30
2025-07,R0005,Cruiser Cotton Seed,27
2025-06,R0005,Cruiser Cotton Seed,16
2026-05,R0006,Amistar Top Fungicide,71
2026-04,R0006,Amistar Top Fungicide,40
2026-03,R0006,Amistar Top Fungicide,113
2026-01,R0006,Amistar Top Fungicide,108
2026-01,R0006,Amistar Top Fungicide,111
2025-12,R0006,Amistar Top Fungicide,105
2025-11,R0006,Amistar Top Fungicide,105
2025-10,R0006,Amistar Top Fungicide,80
2025-09,R0006,Amistar Top Fungicide,68
2025-08,R0006,Amistar Top Fungicide,55
2025-07,R0006,Amistar Top Fungicide,29
2025-06,R0006,Amistar Top Fungicide,44
2026-05,R0006,Karate Zeon Insecticide,46
2026-04,R0006,Karate Zeon Insecticide,41
2026-03,R0006,Karate Zeon Insecticide,73
2026-01,R0006,Karate Zeon Insecticide,88
2026-01,R0006,Karate Zeon Insecticide,96
2025-12,R0006,Karate Zeon Insecticide,90
2025-11,R0006,Karate Zeon Insecticide,60
2025-10,R0006,Karate Zeon Insecticide,71
2025-09,R0006,Karate Zeon Insecticide,66
2025-08,R0006,Karate Zeon Insecticide,42
2025-07,R0006,Karate Zeon Insecticide,48
2025-06,R0006,Karate Zeon Insecticide,39
2026-05,R0006,Cruiser Seed Treatment,66
2026-04,R0006,Cruiser Seed Treatment,47
2026-03,R0006,Cruiser Seed Treatment,99
2026-01,R0006,Cruiser Seed Treatment,109
2026-01,R0006,Cruiser Seed Treatment,117
2025-12,R0006,Cruiser Seed Treatment,90
2025-11,R0006,Cruiser Seed Treatment,78
2025-10,R0006,Cruiser Seed Treatment,125
2025-09,R0006,Cruiser Seed Treatment,52
2025-08,R0006,Cruiser Seed Treatment,94
2025-07,R0006,Cruiser Seed Treatment,30
2025-06,R0006,Cruiser Seed Treatment,59
2026-05,R0007,Tihan Insecticide,58
2026-04,R0007,Tihan Insecticide,59
2026-03,R0007,Tihan Insecticide,73
2026-01,R0007,Tihan Insecticide,75
2026-01,R0007,Tihan Insecticide,82
2025-12,R0007,Tihan Insecticide,79
2025-11,R0007,Tihan Insecticide,90
2025-10,R0007,Tihan Insecticide,64
2025-09,R0007,Tihan Insecticide,81
2025-08,R0007,Tihan Insecticide,82
2025-07,R0007,Tihan Insecticide,53
2025-06,R0007,Tihan Insecticide,45
2026-05,R0007,Polo Insecticide,53
2026-04,R0007,Polo Insecticide,65
2026-03,R0007,Polo Insecticide,88
2026-01,R0007,Polo Insecticide,95
2026-01,R0007,Polo Insecticide,77
2025-12,R0007,Polo Insecticide,190
2025-11,R0007,Polo Insecticide,116
2025-10,R0007,Polo Insecticide,86
2025-09,R0007,Polo Insecticide,102
2025-08,R0007,Polo Insecticide,80
2025-07,R0007,Polo Insecticide,52
2025-06,R0007,Polo Insecticide,48
2026-05,R0007,Cruiser Cotton Seed,69
2026-04,R0007,Cruiser Cotton Seed,62
2026-03,R0007,Cruiser Cotton Seed,68
2026-01,R0007,Cruiser Cotton Seed,126
2026-01,R0007,Cruiser Cotton Seed,116
2025-12,R0007,Cruiser Cotton Seed,87
2025-11,R0007,Cruiser Cotton Seed,119
2025-10,R0007,Cruiser Cotton Seed,99
2025-09,R0007,Cruiser Cotton Seed,78
2025-08,R0007,Cruiser Cotton Seed,48
2025-07,R0007,Cruiser Cotton Seed,42
2025-06,R0007,Cruiser Cotton Seed,37
2026-05,R0008,Amistar Top Fungicide,54
2026-04,R0008,Amistar Top Fungicide,50
2026-03,R0008,Amistar Top Fungicide,89
2026-01,R0008,Amistar Top Fungicide,79
2026-01,R0008,Amistar Top Fungicide,81
2025-12,R0008,Amistar Top Fungicide,111
2025-11,R0008,Amistar Top Fungicide,93
2025-10,R0008,Amistar Top Fungicide,77
2025-09,R0008,Amistar Top Fungicide,52
2025-08,R0008,Amistar Top Fungicide,58
2025-07,R0008,Amistar Top Fungicide,47
2025-06,R0008,Amistar Top Fungicide,31
2026-05,R0008,Karate Zeon Insecticide,36
2026-04,R0008,Karate Zeon Insecticide,48
2026-03,R0008,Karate Zeon Insecticide,56
2026-01,R0008,Karate Zeon Insecticide,87
2026-01,R0008,Karate Zeon Insecticide,115
2025-12,R0008,Karate Zeon Insecticide,78
2025-11,R0008,Karate Zeon Insecticide,102
2025-10,R0008,Karate Zeon Insecticide,94
2025-09,R0008,Karate Zeon Insecticide,60
2025-08,R0008,Karate Zeon Insecticide,59
2025-07,R0008,Karate Zeon Insecticide,73
2025-06,R0008,Karate Zeon Insecticide,43
2026-05,R0008,Cruiser Seed Treatment,39
2026-04,R0008,Cruiser Seed Treatment,40
2026-03,R0008,Cruiser Seed Treatment,57
2026-01,R0008,Cruiser Seed Treatment,106
2026-01,R0008,Cruiser Seed Treatment,130
2025-12,R0008,Cruiser Seed Treatment,130
2025-11,R0008,Cruiser Seed Treatment,80
2025-10,R0008,Cruiser Seed Treatment,93
2025-09,R0008,Cruiser Seed Treatment,87
2025-08,R0008,Cruiser Seed Treatment,79
2025-07,R0008,Cruiser Seed Treatment,56
2025-06,R0008,Cruiser Seed Treatment,37
2026-05,R0009,Amistar Top Fungicide,32
2026-04,R0009,Amistar Top Fungicide,62
2026-03,R0009,Amistar Top Fungicide,63
2026-01,R0009,Amistar Top Fungicide,79
2026-01,R0009,Amistar Top Fungicide,55
2025-12,R0009,Amistar Top Fungicide,65
2025-11,R0009,Amistar Top Fungicide,63
2025-10,R0009,Amistar Top Fungicide,88
2025-09,R0009,Amistar Top Fungicide,60
2025-08,R0009,Amistar Top Fungicide,46
2025-07,R0009,Amistar Top Fungicide,41
2025-06,R0009,Amistar Top Fungicide,38
2026-05,R0009,Karate Zeon Insecticide,27
2026-04,R0009,Karate Zeon Insecticide,38
2026-03,R0009,Karate Zeon Insecticide,46
2026-01,R0009,Karate Zeon Insecticide,105
2026-01,R0009,Karate Zeon Insecticide,107
2025-12,R0009,Karate Zeon Insecticide,68
2025-11,R0009,Karate Zeon Insecticide,62
