date,retailer_id,district,tier,primary_crop,avg_monthly_sales_inr,credit_score,days_since_visit,recent_rain_7d_mm,recent_humidity_pct,pest_pressure_14d,label_order_next_7d
2026-03-24,R0001,Bellary,B,chilli,184194,93,3,2.8,52.1,0,0
2026-03-25,R0001,Bellary,B,chilli,184194,93,4,2.8,51.1,0,0
2026-03-26,R0001,Bellary,B,chilli,184194,93,5,2.8,51.0,0,0
2026-03-27,R0001,Bellary,B,chilli,184194,93,6,2.8,52.7,0,0
2026-03-28,R0001,Bellary,B,chilli,184194,93,7,0.0,53.0,0,0
2026-03-29,R0001,Bellary,B,chilli,184194,93,8,0.0,53.7,0,0
2026-03-30,R0001,Bellary,B,chilli,184194,93,9,0.0,54.9,0,0
2026-03-31,R0001,Bellary,B,chilli,184194,93,10,0.4,53.8,0,0
2026-04-01,R0001,Bellary,B,chilli,184194,93,11,0.4,55.1,0,0
2026-04-02,R0001,Bellary,B,chilli,184194,93,12,0.5,54.7,0,0
2026-04-03,R0001,Bellary,B,chilli,184194,93,13,0.5,53.7,0,0
2026-04-04,R0001,Bellary,B,chilli,184194,93,14,0.5,54.4,0,0
2026-04-05,R0001,Bellary,B,chilli,184194,93,15,0.5,54.8,0,0
2026-04-06,R0001,Bellary,B,chilli,184194,93,16,13.8,53.7,0,0
2026-04-07,R0001,Bellary,B,chilli,184194,93,17,13.4,54.6,0,0
2026-04-08,R0001,Bellary,B,chilli,184194,93,18,13.4,53.5,0,0
2026-04-09,R0001,Bellary,B,chilli,184194,93,19,13.3,53.6,0,0
2026-04-10,R0001,Bellary,B,chilli,184194,93,20,13.3,54.5,0,0
2026-04-11,R0001,Bellary,B,chilli,184194,93,21,39.1,53.3,0,0
2026-04-12,R0001,Bellary,B,chilli,184194,93,22,39.1,54.3,0,0
2026-04-13,R0001,Bellary,B,chilli,184194,93,23,25.8,55.4,0,0
2026-04-14,R0001,Bellary,B,chilli,184194,93,24,25.8,55.0,0,0
2026-04-15,R0001,Bellary,B,chilli,184194,93,25,28.5,55.5,0,0
2026-04-16,R0001,Bellary,B,chilli,184194,93,26,30.6,56.4,0,0
2026-04-17,R0001,Bellary,B,chilli,184194,93,27,30.6,55.9,0,0
2026-04-18,R0001,Bellary,B,chilli,184194,93,28,6.8,57.1,0,0
2026-04-19,R0001,Bellary,B,chilli,184194,93,29,7.3,56.7,0,0
2026-04-20,R0001,Bellary,B,chilli,184194,93,30,7.3,57.2,0,0
2026-04-21,R0001,Bellary,B,chilli,184194,93,31,7.3,58.4,0,0
2026-04-22,R0001,Bellary,B,chilli,184194,93,32,4.6,58.7,0,0
2026-04-23,R0001,Bellary,B,chilli,184194,93,33,2.5,58.4,0,0
2026-04-24,R0001,Bellary,B,chilli,184194,93,34,2.5,59.6,0,0
2026-04-25,R0001,Bellary,B,chilli,184194,93,35,0.5,60.2,0,0
2026-04-26,R0001,Bellary,B,chilli,184194,93,36,11.6,60.7,0,0
2026-04-27,R0001,Bellary,B,chilli,184194,93,37,11.6,61.0,0,0
2026-04-28,R0001,Bellary,B,chilli,184194,93,38,11.6,61.0,0,0
2026-04-29,R0001,Bellary,B,chilli,184194,93,39,11.6,61.0,0,0
2026-04-30,R0001,Bellary,B,chilli,184194,93,40,11.6,62.7,0,0
2026-05-01,R0001,Bellary,B,chilli,184194,93,41,13.0,61.4,0,0
2026-05-02,R0001,Bellary,B,chilli,184194,93,0,13.0,60.4,0,0
2026-05-03,R0001,Bellary,B,chilli,184194,93,1,2.1,59.0,0,0
2026-05-04,R0001,Bellary,B,chilli,184194,93,2,2.1,58.8,0,0
2026-05-05,R0001,Bellary,B,chilli,184194,93,3,18.4,59.5,0,0
2026-05-06,R0001,Bellary,B,chilli,184194,93,4,18.4,59.9,0,0
2026-05-07,R0001,Bellary,B,chilli,184194,93,5,18.4,58.7,0,0
2026-05-08,R0001,Bellary,B,chilli,184194,93,6,19.7,60.0,0,1
2026-05-09,R0001,Bellary,B,chilli,184194,93,7,27.7,61.5,0,1
2026-05-10,R0001,Bellary,B,chilli,184194,93,8,27.0,63.0,0,1
2026-05-11,R0001,Bellary,B,chilli,184194,93,9,27.0,64.0,0,1
2026-05-12,R0001,Bellary,B,chilli,184194,93,10,10.7,63.5,0,1
2026-05-13,R0001,Bellary,B,chilli,184194,93,11,10.7,63.7,0,1
2026-05-14,R0001,Bellary,B,chilli,184194,93,12,10.7,64.2,0,1
2026-05-15,R0001,Bellary,B,chilli,184194,93,0,8.0,63.0,0,0
2026-05-16,R0001,Bellary,B,chilli,184194,93,1,0.0,62.9,0,0
2026-05-17,R0001,Bellary,B,chilli,184194,93,2,11.9,62.8,0,0
2026-05-18,R0001,Bellary,B,chilli,184194,93,3,11.9,62.6,0,0
2026-05-19,R0001,Bellary,B,chilli,184194,93,4,11.9,62.7,0,0
2026-05-20,R0001,Bellary,B,chilli,184194,93,5,11.9,63.6,0,0
2026-05-21,R0001,Bellary,B,chilli,184194,93,6,11.9,64.6,0,0
2026-05-22,R0001,Bellary,B,chilli,184194,93,7,11.9,65.0,0,0
2026-03-24,R0002,Bellary,A,cotton,325929,55,17,2.8,52.1,0,0
2026-03-25,R0002,Bellary,A,cotton,325929,55,18,2.8,51.1,0,0
2026-03-26,R0002,Bellary,A,cotton,325929,55,19,2.8,51.0,0,0
2026-03-27,R0002,Bellary,A,cotton,325929,55,20,2.8,52.7,0,0
2026-03-28,R0002,Bellary,A,cotton,325929,55,21,0.0,53.0,0,0
2026-03-29,R0002,Bellary,A,cotton,325929,55,22,0.0,53.7,0,0
2026-03-30,R0002,Bellary,A,cotton,325929,55,23,0.0,54.9,0,0
2026-03-31,R0002,Bellary,A,cotton,325929,55,24,0.4,53.8,0,0
2026-04-01,R0002,Bellary,A,cotton,325929,55,25,0.4,55.1,0,0
2026-04-02,R0002,Bellary,A,cotton,325929,55,26,0.5,54.7,0,0
2026-04-03,R0002,Bellary,A,cotton,325929,55,27,0.5,53.7,0,0
2026-04-04,R0002,Bellary,A,cotton,325929,55,28,0.5,54.4,0,0
2026-04-05,R0002,Bellary,A,cotton,325929,55,29,0.5,54.8,0,0
2026-04-06,R0002,Bellary,A,cotton,325929,55,30,13.8,53.7,0,0
2026-04-07,R0002,Bellary,A,cotton,325929,55,31,13.4,54.6,0,0
2026-04-08,R0002,Bellary,A,cotton,325929,55,32,13.4,53.5,0,0
2026-04-09,R0002,Bellary,A,cotton,325929,55,33,13.3,53.6,0,0
2026-04-10,R0002,Bellary,A,cotton,325929,55,34,13.3,54.5,0,0
2026-04-11,R0002,Bellary,A,cotton,325929,55,35,39.1,53.3,0,0
2026-04-12,R0002,Bellary,A,cotton,325929,55,36,39.1,54.3,0,0
2026-04-13,R0002,Bellary,A,cotton,325929,55,37,25.8,55.4,0,0
2026-04-14,R0002,Bellary,A,cotton,325929,55,38,25.8,55.0,0,0
2026-04-15,R0002,Bellary,A,cotton,325929,55,39,28.5,55.5,0,0
2026-04-16,R0002,Bellary,A,cotton,325929,55,0,30.6,56.4,0,0
2026-04-17,R0002,Bellary,A,cotton,325929,55,1,30.6,55.9,0,0
2026-04-18,R0002,Bellary,A,cotton,325929,55,2,6.8,57.1,0,0
2026-04-19,R0002,Bellary,A,cotton,325929,55,3,7.3,56.7,0,0
2026-04-20,R0002,Bellary,A,cotton,325929,55,4,7.3,57.2,0,0
